1000 10000
347 444 92
144 472 11
795 810 64
721 265 28
509 110 66
177 481 22
129 227 45
358 307 92
905 413 1
321 768 43
510 551 53
78 266 66
657 982 52
840 298 7
947 419 59
875 811 73
837 509 49
248 876 87
913 932 96
573 617 67
190 391 85
938 626 60
441 671 95
621 923 47
910 282 9
975 634 40
683 946 11
725 237 6
54 499 97
423 33 98
546 736 89
404 284 32
14 270 8
284 644 73
549 103 84
325 485 39
543 681 49
983 456 52
855 44 3
696 134 92
155 920 38
1000 873 42
896 828 59
598 715 3
379 760 64
738 661 63
776 781 99
776 10 66
695 199 20
379 889 76
225 762 74
808 414 9
96 778 26
383 713 81
373 577 61
894 814 70
648 989 100
949 556 49
395 760 63
955 902 81
119 758 80
47 581 8
61 514 71
264 51 4
78 921 89
742 874 84
381 661 90
6 331 87
991 404 65
362 991 20
378 655 39
143 754 73
243 539 56
525 371 10
46 987 77
971 453 44
610 404 17
232 577 99
746 743 69
987 857 32
213 139 35
35 479 5
71 473 10
288 548 39
758 126 32
761 265 83
406 740 59
523 594 9
718 465 53
512 390 56
792 71 100
670 568 13
572 690 67
324 817 80
22 125 39
216 796 16
300 477 63
700 200 63
433 949 92
332 994 77
540 896 9
34 360 76
74 754 28
499 591 38
159 584 83
79 301 3
33 491 21
228 904 59
574 760 38
739 86 41
465 235 79
306 778 75
385 408 59
632 918 31
522 761 15
277 443 63
402 283 63
255 19 18
916 392 34
846 151 1
345 558 95
545 409 48
482 575 2
438 660 70
871 375 87
206 550 96
35 497 4
294 405 74
134 555 94
808 896 32
778 197 3
336 593 43
718 470 11
647 601 10
550 806 18
796 300 25
897 669 16
78 401 73
234 803 33
939 956 18
31 678 57
140 460 72
309 488 42
766 892 99
898 622 85
586 14 39
721 625 69
110 987 48
18 561 15
283 549 6
512 229 67
893 909 50
289 348 90
998 117 76
537 272 13
523 296 92
775 429 37
573 517 81
478 630 9
529 72 48
341 465 73
480 1000 10
792 334 35
816 554 90
981 508 97
617 220 8
648 276 53
834 3 37
912 876 13
705 478 40
487 157 63
366 33 26
437 5 1
153 738 48
118 733 70
167 391 8
512 92 43
81 503 83
510 995 15
53 836 65
600 343 52
491 592 35
264 715 32
929 989 61
6 915 97
520 323 30
333 90 13
493 901 47
739 164 43
377 292 19
421 221 4
720 915 76
610 824 66
902 18 17
315 360 1
805 763 22
553 555 65
361 256 24
743 394 45
644 123 78
195 283 39
610 804 92
169 247 85
311 22 88
785 52 34
659 194 88
732 900 75
309 627 38
451 668 63
533 193 84
496 102 67
905 646 20
602 943 66
297 188 93
317 82 79
291 813 100
